company_name,description,sectors,regions,backed,index_team,founders,ticker_symbol,company_profile_url,company_url,image_url,featured_content_urls,source_url,scraped_at
1stdibs,"1stdibs is the leading marketplace for luxury antiques and vintage goods. Originally inspired by Parisian flea markets, today the website brings together more than 1,500 of the world’s most prestigious international dealers of antiques, vintage furniture and design, fine art, estate jewellery, vintage couture and fine homes.",Retail,North America,,Danny Rimer,David Rosenblatt; Laurence Forcione; Michael Bruno,NASDAQ: DIBS,https://www.indexventures.com/companies/1stdibs/,http://1stdibs.com,https://www.indexventures.com/media/images/1stdibsoffice_byeUyv1.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/5-lessons-from-winning-marketplaces/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
7AI,"7AI is the first agentic security platform that harnesses the speed, swarming capabilities, and power of AI to finally give defenders the advantage over evolving threats.",AI/ML; Security,,,Shardul Shah; Juriaan Duizendstraal,Lior Div; Yonatan Amit,,https://www.indexventures.com/companies/7ai/,http://7ai.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/securitys-agentic-era-starts-here-our-investment-in-7ai/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Abacus.ai,Effortlessly Embed Cutting-Edge AI Into Your Applications,AI/ML,North America,,Mike Volpi,Bindu Reddy; Arvind Sundararajan; Siddartha Naidu,,https://www.indexventures.com/companies/abacusai/,https://abacus.ai/,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/bringing-ai-businesses-everywhere/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Adallom,"Adallom is a SaaS security pioneer, which enhances the way enterprises secure information in SaaS by monitoring all activity, detecting unauthorised access and protecting users in real time.",Security,Asia; North America,,Shardul Shah,,Microsoft,https://www.indexventures.com/companies/adallom/,http://adallom.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/investing-in-the-enterprise-in-2015/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Adaptive ML,Adaptive ML builds key GenAI infrastructure to enable companies to perpetually improve their models.,AI/ML,,,Carlos Gonzalez-Cadenas,Julien Launay; Baptiste Pannier; Daniel Hesslow,,https://www.indexventures.com/companies/adaptive-ml/,http://adaptive-ml.com,https://www.indexventures.com/media/images/d9e13e49627f5114f650c7.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/scaling-through-chaos-in-the-age-of-ai/; https://www.indexventures.com/perspectives/relationship/adaptive-ml/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Adfin,None,Fintech,,,Julia Andre; Jan Hammer,Tom Pope; Ciprian Diaconasu,,https://www.indexventures.com/companies/adfin/,http://adfin.com,https://www.indexventures.com/media/images/Adfin_co-founders_Tom_.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/thats-adfin-financial-admin-finished/; https://www.indexventures.com/perspectives/relationship/adfin/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Adyen,"A global omni-channel payment company, Adyen provides a fully- outsourced payment solution for large international merchants. Adyen processes over 250 different payment methods and 187 transaction currencies used across six continents.",Fintech,Europe,backed by Index,Jan Hammer,Pieter van der Does,AMS:ADYEN,https://www.indexventures.com/companies/adyen/,http://adyen.com,https://www.indexventures.com/media/images/adyen-singapore-office.2e16d0ba.fill-1200x630.format-png.png,https://www.indexventures.com/perspectives/adyene28099s-mission-to-build-new-payment-rails-for-the-world/; https://www.indexventures.com/perspectives/adyen-a-global-success-born-in-amsterdam/; https://www.indexventures.com/perspectives/relationship/adyen/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Adzuna,"Adzuna is a search engine for job ads used by over 10 million visitors per month that aims to list every job, everywhere.",Business Applications; Talent,Europe,backed at Seed (all),,Doug Monro; Andrew Hunter,,https://www.indexventures.com/companies/adzuna/,http://adzuna.com,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Alan,Alan is the leading digital health insurance provider in France. Alan is making health experience simple and modern. It is a primary insurer that distributes its own health plans directly to companies and individuals.,Fintech; Healthcare,Europe,backed by Index,Jan Hammer,Jean-Charles Samuelian; Charles Gorintin,,https://www.indexventures.com/companies/alan/,http://alan.eu,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/radical-care-why-alans-co-founder-is-rewriting-the-rules-of-healthcare/; https://www.indexventures.com/perspectives/relationship/alan/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
Albert,"Everyday Albert’s cloud-based, data-driven platform is empowering thousands of scientists across 30+ countries to achieve better results.",AI/ML,,,,Nick Talken; Ken Kisner; Neelesh Vaikhary; Zack Kisner,,https://www.indexventures.com/companies/albert/,https://www.albertinvent.com/,https://www.indexventures.com/static/images/index_ventures_og_image.a32dae190f17.jpg,https://www.indexventures.com/perspectives/built-by-scientists-for-scientists-albert-invent-is-reimagining-the-5t-global-chemicals-market/,https://www.indexventures.com/companies/backed/all/,2026-06-08T12:41:52Z
